2026-03-18 15:34:15 | DEBUG    | cbb_totals.src.utils.db        | Using SQLite database at C:\Users\ryanb\cbb-totals\data\cbb_totals.db
2026-03-18 15:34:16 | INFO     | cbb_totals.src.utils.db        | Database schema initialized.
2026-03-18 15:36:30 | DEBUG    | cbb_totals.src.utils.db        | Using SQLite database at C:\Users\ryanb\cbb-totals\data\cbb_totals.db
2026-03-18 15:36:30 | INFO     | cbb_totals.src.utils.db        | Database schema initialized.
2026-03-18 15:36:30 | INFO     | cbb_totals.src.pipeline.daily_pipeline | ============================================================
2026-03-18 15:36:30 | INFO     | cbb_totals.src.pipeline.daily_pipeline | CBB Totals Pipeline — Running for 2026-03-18
2026-03-18 15:36:30 | INFO     | cbb_totals.src.pipeline.daily_pipeline | ============================================================
2026-03-18 15:36:33 | DEBUG    | cbb_totals.src.data.team_normalizer | TeamNormalizer loaded 126 canonical teams with 318 variant mappings.
2026-03-18 15:36:50 | INFO     | cbb_totals.src.pipeline.daily_pipeline | No trained ML models found. Running baseline-only mode.
2026-03-18 15:36:51 | INFO     | cbb_totals.src.pipeline.daily_pipeline | Step 1/7: Fetching schedule...
2026-03-18 15:36:51 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN scoreboard for 20260318
2026-03-18 15:36:52 | INFO     | cbb_totals.src.data.espn_adapter | ESPN scoreboard 20260318: found 10 games.
2026-03-18 15:36:52 | INFO     | cbb_totals.src.pipeline.daily_pipeline | Found 10 games for 2026-03-18.
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401856437: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401856436: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401858344: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401858345: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401858343: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401858346: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401858342: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401858341: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401858348: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Could not upsert game espn_401858347: 'home_team' is an invalid keyword argument for Game
2026-03-18 15:36:52 | INFO     | cbb_totals.src.pipeline.daily_pipeline | Step 2/7: Fetching stats and building features...
